"Gene","ProbeId","EntrezId"
"HS.148257",4810554,NA
"TNNT3",4150379,7140
"ACPT",2690369,93650
"LRRC15",2640195,131578
"LOC643454",2750452,643454
"AKNA",2850010,80709
"LOC727970",4670497,727970
"DTNB",770504,1838
"BACH2",7650440,60468
"POM121",3930475,9883
"ALDH18A1",2370255,5832
"CHST3",3930736,9469
"TMEM106B",1740154,54664
"MRPL47",5130300,57129
"PHF15",770411,23338
"ERAP1",4920347,51752
"LOC646449",7210608,646449
"LOC652463",2230672,652463
"LOC643388",3840338,643388
"TREML2",7380180,79865
"DSP",3610672,1832
"LOC729912",3390491,729912
"WDR67",6040554,93594
"CD2AP",3140646,23607
"LOC647219",1450739,647219
"TREX1",7550376,11277
"LOC642946",4010632,642946
"LOC401433",5900088,401433
"LOC646300",3940164,646300
"SIX2",940255,10736
"GPR155",4210538,151556
"HS.563020",5870626,NA
"MGC52498",2190646,348378
"ZNF48",3990133,197407
"CNOT1",3180576,23019
"CSDA",2320129,8531
"ZNF580",5490402,51157
"PNMA6B",6550626,728513
"LOC100133881",3450246,100133881
"C10ORF76",6580554,79591
"MSH3",2760753,4437
"HS.545364",830220,NA
"MRPL11",4670424,65003
"C12ORF43",50414,64897
"LOC728904",2630026,728904
"SULT1A2",6400326,6799
"RBM5",3060450,10181
"CTNNA1",3890017,1495
"PCTK1",7320259,5127
"FLJ00312",5130475,399761
"TMEM161B",4280762,153396
"FAM172A",7150739,83989
"ZNF821",5890681,55565
"HS.121655",6290523,NA
"LOC728739",6350048,728739
"ZNF92",2690370,168374
"NOSIP",6180408,51070
"GINS3",3060192,64785
"LILRB1",6840435,10859
"GYG2",4830750,8908
"ORAI3",6840576,93129
"MRPL27",5900307,51264
"SLC22A5",7050180,6584
"FRAS1",270358,80144
"LOC729587",7210519,729587
"LOC402110",1690634,402110
"OTUD6B",1050450,51633
"SLC39A5",4280647,283375
"ACTB",4610390,60
"PARVA",1940390,55742
"PIGR",50600,5284
"SLC5A8",3520424,160728
"PLA2G2A",4860152,5320
"FZD8",3290301,8325
"PPP1R3E",1710113,90673
"EIF2S2",3400577,8894
"JUP",2570551,3728
"EEF1G",4560719,1937
"EBPL",5490477,84650
"HS.209253",6060114,NA
"FLJ35776",3130332,649446
"NEIL2",3180019,252969
"B3GALT1",3310736,8708
"MARCH5",1300059,54708
"RELL1",1710730,768211
"LOC144678",6760075,144678
"LOC100128266",520427,100128266
"C11ORF47",2100386,283294
"C7ORF20",2900504,51608
"SFRS9",6420767,8683
"CCNH",2570544,902
"MEF2A",6400132,4205
"TCEAL1",3360014,9338
"RPS24",10546,6229
"ARPC2",7560162,10109
"HS.527241",4830367,NA
"HS.440548",4670594,NA
"EIF5",6550035,1983
"XPR1",4010075,9213
"RDBP",1820538,7936
"LOC100134444",2900286,100134444
"CAMTA1",3930411,23261
"ZDHHC16",1770358,84287
"MST4",3940286,51765
"SNX24",5960010,28966
"LOC727849",4640035,727849
"HNRPDL",2570358,9987
"LOC645478",3870747,645478
"PDX1",4120427,3651
"ZNF451",2070189,26036
"LOC155100",5310709,155100
"LOC642828",7000059,642828
"LOC728351",3930056,728351
"HS.369643",1450577,NA
"LOC643401",1690593,643401
"TRAF3IP2",7510719,10758
"TMF1",2970609,7110
"PILRA",2030088,29992
"LOC342892",360563,342892
"HS.536748",1510139,NA
"SRP54",1570279,6729
"ANGPTL4",4610433,51129
"ZNF364",7380382,27246
"ATP5B",4540021,506
"GPSM3",6420386,63940
"LOC400352",4560504,400352
"TRIM54",3460068,57159
"LOC388780",7550088,388780
"CARD10",3840678,29775
"LOC100128074",290446,100128074
"LYRM5",10435,144363
"HS.540741",70598,NA
"EFNA4",620161,1945
"LIN7C",5700243,55327
"HNRNPH2",4150059,3188
"LY6E",4890270,4061
"NDUFAF3",1300025,25915
"LOC100131225",6900735,100131225
"HS.150734",3360356,NA
"LOC388438",2230280,388438
"PLAGL1",1190521,5325
"CDCA7L",3800753,55536
