"Gene","ILLUMINA_PROBE_ID","EntrezId"
"PRPSAP2",290112,5636
"LOC643985",290128,643985
"LOC100132979",290129,100132979
"SMG7",290156,9887
"CCDC29",290161,728788
"LOC285176",290162,285176
"PROCR",290181,10544
"EIF5AL1",290195,143244
"LOC595101",290196,595101
"SNORD6",290220,692075
"PARP3",290224,10039
"STEAP2",290292,261729
"LOC653352",290301,653352
"SENP5",290315,205564
"LOC643357",290326,643357
"TAF13",290332,6884
"CDCA4",290333,55038
"TTC3",290343,7267
"POFUT1",290348,23509
"HS.336593",290356,NA
"SGMS1",290358,259230
"C4ORF32",290368,132720
"LOC100130070",290370,100130070
"FOXD4",290377,2298
"MRPL44",290390,65080
"LLGL2",290397,3993
"KRTCAP3",290435,200634
"TNMD",290445,64102
"LOC100128074",290446,100128074
"FBXW5",290465,54461
"EIF2C2",290468,27161
"HS.112050",290500,NA
"MYSM1",290524,114803
"MATK",290538,4145
"HS.578068",290544,NA
"TBC1D20",290546,128637
"MSTO1",290554,55154
"TNFSF15",290561,9966
"LOC644889",290563,644889
"FGF2",290593,2247
"ZNF738",290600,148203
"AARS",290603,16
"CNRIP1",290615,25927
"HS.539119",290632,NA
"NT5DC1",290646,221294
"SLC1A7",290669,6512
"LOC653884",290687,653884
"ST7OT4",290707,338069
"HIST1H2BD",290730,3017
"SAMD3",290750,154075
"KRTDAP",290767,388533
"FKBP1P1",360010,2282
"C6ORF72",360017,116254
"LOC646012",360048,646012
"MPPE1",360053,65258
"NFATC2IP",360082,84901
"KLF6",360110,1316
"CTXN1",360114,404217
"LHFPL2",360132,10184
"RIPK3",360142,11035
"LOC390183",360154,390183
"ZFR2",360156,23217
"TMEM11",360161,8834
"IMPDH1",360162,3614
"C20ORF62",360176,140834
"LAMA2",360181,3908
"RIOK3",360187,8780
"INSIG1",360192,3638
"NKAP",360202,79576
"C6ORF1",360209,221491
"RABGAP1L",360221,9910
"LOC440459",360242,440459
"TROVE2",360259,6738
"NAV3",360270,89795
"PNRC2",360280,55629
"SCARNA13",360292,677768
"LOC283314",360315,283314
"LOC730496",360326,730496
"CCL14",360327,6358
"KLRC2",360328,3822
"PCDH7",360367,5099
"ZNF138",360370,7697
"FLJ20125",360376,54826
"TGFA",360377,7039
"VIP",360379,7432
"LOC647340",360382,647340
"AMPH",360402,273
"SDHA",360424,6389
"HS.213122",360438,NA
"ITPA",360445,3704
"LOC100131551",360451,100131551
"PLAUR",360475,5329
"NBPF14",360482,25832
"NCRNA00087",360497,644596
"SRGN",360500,5552
"LOC100131381",360538,100131381
"LOC342892",360563,342892
"LOC650780",360564,650780
"SPRR2D",360605,6703
"FEZ2",360608,9637
"LOC100131940",360612,100131940
"HS.576373",360632,NA
"HS.563922",360646,NA
"KCNS2",360647,3788
"LOC647276",360653,647276
"LOC100130928",360672,100130928
"HEBP1",360689,50865
"ZNF160",360709,90338
"CD44",360719,960
"LOC728661",360731,728661
"LOC100128693",360739,100128693
"COASY",360747,80347
"MKRN2",360753,23609
"LOC729581",360767,729581
"C6ORF25",360768,80739
"CXCL5",380010,6374
"SLC25A19",380014,60386
"RGS12",380020,6002
"HS.544833",380022,NA
"C1ORF116",380026,79098
"TMEM80",380068,283232
"RPS23",380070,6228
"LOC730024",380097,730024
"LOC652045",380110,652045
"HIT-40",380112,90576
"RNU5D",380136,26830
"DECR2",380148,26063
"ZNF2",380152,7549
"SLC35A4",380189,113829
"NUAK2",380202,81788
"NDRG2",380228,57447
"VIT",380241,5212
"G6PC3",380242,92579
"HS.159049",380273,NA
"HS.98330",380301,NA
"CNOT3",380309,4849
"SNORA35",380324,677816
"KCNIP4",380332,80333
"HS.569718",380367,NA
"TRRAP",380369,8295
"HSPC111",380370,51491
"BANP",380373,54971
"SORBS3",380386,10174
"LOC644096",380398,644096
"FBRS",380402,64319
"CFH",380424,3075
"HS.50571",380431,NA
"FLJ44674",380446,400535
"FLJ22531",380465,79703
"GMEB1",380468,10691
"SLC36A4",380484,120103
"LOC389435",380491,389435
"PGM5",380494,5239
"LOC642477",380519,642477
"SNX18",380521,112574
"GGNBP1",380524,449520
"LOC729227",380537,729227
"NEBL",380561,10529
"TTLL3",380563,26140
"ZFYVE21",380594,79038
"SLC31A1",380603,1317
"HCN4",380626,10021
"C10ORF78",380669,119392
"ZC3H12C",380672,85463
"RNF7",380674,9616
"RBM28",380682,55131
"SNORD3D",380685,780854
"TSC22D1",380689,8848
"YIPF5",380703,81555
"APBB2",380707,323
"LOC647187",380709,647187
"MTX1",380725,4580
"LOC100131088",380730,100131088
"C7ORF58",380736,79974
"LOC644422",380750,644422
"SEC61G",380753,23480
"HS.568124",380768,NA
"LOC100129555",430021,100129555
"LOC729941",430037,729941
"LOC730323",430048,730323
"BAMBI",430050,25805
"C21ORF84",430059,114038
"ELAC1",430086,55520
"FBLN1",430088,2192
"XRCC6",430100,2547
"NTRK2",430102,4915
"LOC731074",430113,731074
"SMARCA1",430132,6594
"ACADM",430139,34
"ALOX15B",430152,247
"LOC644265",430164,644265
"SCMH1",430168,22955
"ZNF717",430176,377064
"SEMA3B",430181,7869
"UPLP",430189,100134938
"PDSS1",430192,23590
"MRPL14",430196,64928
"NOL3",430202,8996
"MYCN",430204,4613
"NLN",430209,57486
"LY75",430215,4065
"CHD4",430224,1108
"LOC647606",430255,647606
"LOC389333",430274,389333
"MIR648",430288,693233
"HOXB9",430296,3219
"PLEKHG1",430348,57480
"OR2W3",430356,343171
"COPG2IT1",430364,53844
"ZNF211",430368,10520
"SPG3A",430372,51062
"LOC654163",430377,654163
"KCTD1",430386,284252
"HAGHL",430392,84264
"LOC648283",430398,648283
"ABCA3",430402,21
"TOR3A",430411,64222
"TRIP10",430431,9322
"LOC649891",430450,649891
"HS.543865",430452,NA
"LOC647481",430477,647481
"PHRF1",430491,57661
"LOC644384",430504,644384
"FAM120A",430519,23196
"ZNF57",430520,126295
"LOC201651",430528,201651
"FLJ44385",430537,400934
"HIST1H2BG",430546,8339
"MSL1",430551,339287
"HS.562647",430594,NA
"TMEM137",430605,84972
"MIR342",430634,442909
"PCF11",430639,51585
"LOC144817",430653,144817
"LOC642141",430661,642141
"SPTLC1",430669,10558
"HSPA8",430672,3312
"FLJ30092",430673,196515
"NDUFS2",430717,4720
"WDR53",430731,348793
"PECAM1",430747,5175
"CDK9",430767,1025
"MAP4K3",450019,8491
"POLR2J4",450037,84820
"ACVR1C",450064,130399
"LOC100128403",450066,100128403
"CHCHD6",450072,84303
"BAZ2B",450075,29994
"MAPK12",450082,6300
"SOX10",450088,6663
"NBPF8",450100,728841
"FBXL5",450114,26234
"RBM12B",450132,389677
"PLA2G2C",450167,391013
"HAUS5",450170,23354
"AMMECR1",450176,9949
"XAF1",450189,54739
"REEP4",450196,80346
"ALG9",450204,79796
"MGC13005",450228,84771
"FLJ36116",450241,388666
"HMGXB4",450243,10042
"PTK2",450253,5747
"MAFA",450280,389692
"MRPL30",450288,51263
"TUBB2A",450292,7280
"DDX49",450309,54555
"PQBP1",450315,10084
"MID2",450326,11043
"MIR877",450328,100126314
"HS.577888",450338,NA
"PTPRG",450369,5793
