Infected,MuseumNumber,Province,Locality,Family,Species,Diet,Sex,Age,TesticlePosition,Epididymis,MammaeCondition,Vagina
-,FMNH 218140,Toliara,MRFTT,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
+,FMNH 218141,Toliara,MRFTT,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,UADBA 50309,Toliara,MRFTT,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 50310,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50311,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50312,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50313,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 50314,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Lactating,Perforated
-,UADBA 50315,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Lactating,Perforated
-,UADBA 50316,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50317,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 50318,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,-,-
-,FMNH 218142,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Partially descended,Not convoluted,-,-
